Name,z[mm]
Plate1_15,0
Plate1_15_1,65
Plate1_15_2,130
Plate1_15_3,195
Plate1_15_4,260
Plate1_15_5,325
Plate1_15_6,390
Plate1_15_7,455
Plate1_15_8,520
Plate1_15_9,585
Plate1_15_10,650
Plate1_15_11,715
Plate1_15_12,780
Plate1_15_13,845
Plate1_15_14,910
Plate1_15_15,975
Plate1_15_16,1040
Plate1_15_17,1105
Plate1_15_18,1170
Plate1_15_19,1235
Plate1_15_20,1300
Plate1_15_21,1365
Plate1_15_22,1430
Plate1_15_23,1495
Plate1_15_24,1560
Plate1_15_25,1625
Plate1_15_26,1690
Plate1_15_27,1755
Plate1_15_28,1820
Plate1_15_29,1885
Plate1_15_30,1950
Plate1_15_31,2015
Plate1_15_32,2080
Plate1_15_33,2145
Plate1_40,2210
Plate1_40_1,2300
Plate1_40_2,2390
Plate1_40_3,2480
Plate1_40_4,2570
Plate1_40_5,2660
Plate1_40_6,2750
Plate1_40_7,2840
Plate1_40_8,2930
Plate1_40_9,3020
Plate1_40_10,3110
Plate1_40_11,3200
Plate1_40_12,3290
Plate1_40_13,3380
Plate1_40_14,3470
Plate1_40_15,3560
Plate1_40_16,3650
Plate1_40_17,3740
Plate1_40_18,3830
Plate1_40_19,3920
Plate1_40_20,4010
Plate1_40_21,4100
Plate1_80,4190
Plate1_80_1,4325
Plate1_80_2,4460
Plate1_80_3,4595
Plate1_80_4,4730
Plate1_80_5,4865
Plate1_80_6,5000
Plate1_80_7,5135
Plate1_80_8,5270
Plate1_80_9,5405
Plate1_80_10,5540
Plate1_80_11,5675
Plate1_80_12,5810
Plate1_80_13,5945
Plate1_80_14,6080
Plate1_80_15,6215
Plate1_80_16,6350
Plate1_80_17,6485
Plate1_80_18,6620
Plate1_80_19,6755
Plate1_80_20,6890
Plate1_80_21,7025
Plate1_80_22,7160
Plate1_80_23,7295
Plate2_15,0
Plate2_15_1,65
Plate2_15_2,130
Plate2_15_3,195
Plate2_15_4,260
Plate2_15_5,325
Plate2_15_6,390
Plate2_15_7,455
Plate2_15_8,520
Plate2_15_9,585
Plate2_15_10,650
Plate2_15_11,715
Plate2_15_12,780
Plate2_15_13,845
Plate2_15_14,910
Plate2_15_15,975
Plate2_15_16,1040
Plate2_15_17,1105
Plate2_15_18,1170
Plate2_15_19,1235
Plate2_15_20,1300
Plate2_15_21,1365
Plate2_15_22,1430
Plate2_15_23,1495
Plate2_15_24,1560
Plate2_15_25,1625
Plate2_15_26,1690
Plate2_15_27,1755
Plate2_15_28,1820
Plate2_15_29,1885
Plate2_15_30,1950
Plate2_15_31,2015
Plate2_15_32,2080
Plate2_15_33,2145
Plate2_40,2210
Plate2_40_1,2300
Plate2_40_2,2390
Plate2_40_3,2480
Plate2_40_4,2570
Plate2_40_5,2660
Plate2_40_6,2750
Plate2_40_7,2840
Plate2_40_8,2930
Plate2_40_9,3020
Plate2_40_10,3110
Plate2_40_11,3200
Plate2_40_12,3290
Plate2_40_13,3380
Plate2_40_14,3470
Plate2_40_15,3560
Plate2_40_16,3650
Plate2_40_17,3740
Plate2_40_18,3830
Plate2_40_19,3920
Plate2_40_20,4010
Plate2_40_21,4100
Plate2_80,4190
Plate2_80_1,4325
Plate2_80_2,4460
Plate2_80_3,4595
Plate2_80_4,4730
Plate2_80_5,4865
Plate2_80_6,5000
Plate2_80_7,5135
Plate2_80_8,5270
Plate2_80_9,5405
Plate2_80_10,5540
Plate2_80_11,5675
Plate2_80_12,5810
Plate2_80_13,5945
Plate2_80_14,6080
Plate2_80_15,6215
Plate2_80_16,6350
Plate2_80_17,6485
Plate2_80_18,6620
Plate2_80_19,6755
Plate2_80_20,6890
Plate2_80_21,7025
Plate2_80_22,7160
Plate2_80_23,7295

