pdg,ke_mev,ptms_mevc,n_slices,n_candidates,n_valid_candidates,reco_available,correct,sd_field_mm,chosen_entry,chosen_track,chosen_length3d,chosen_nhits
13,5476.456858875,4416.839146825003,2,1,1,1,0,-42.90417480468727,544,0,179.53402709960938,17
13,4341.722483875,3624.6441769347157,2,0,0,0,0,nan,-1,-1,nan,-1
13,2041.66047215625,1268.0033113525426,2,1,1,1,1,657.8295898437523,931,0,694.884033203125,47
13,3396.937571765625,2429.2473169867394,2,0,0,0,0,nan,-1,-1,nan,-1
13,2088.632640125,1336.7493583359974,2,1,1,1,1,385.04229736327954,2377,0,789.2048950195312,42
13,2751.62629246875,1880.4094997837674,2,0,0,0,0,nan,-1,-1,nan,-1
-13,12224.1863510625,11292.144078106154,2,0,0,0,0,nan,-1,-1,nan,-1
13,1385.6933090703126,386.68943049941913,2,0,0,0,0,nan,-1,-1,nan,-1
13,1050.362376453125,289.88274841674723,2,0,0,0,0,nan,-1,-1,nan,-1
-13,9988.5242416875,8947.309021487505,2,1,1,1,1,-217.5541076660155,4459,0,1262.622802734375,47
13,7583.925608875,6476.709709685184,2,1,1,1,1,496.01832521450376,4691,0,2905.057861328125,85
13,1857.814036609375,1142.8525719533811,2,1,1,1,1,641.0839599609321,5489,0,642.0309448242188,46
13,1199.02765965625,613.7465920405648,2,0,0,0,0,nan,-1,-1,nan,-1
13,13634.6199448125,13038.653374646952,2,1,1,1,1,580.261168259824,8550,0,2670.726806640625,84
13,1085.241770984375,276.5898755983262,2,0,0,0,0,nan,-1,-1,nan,-1
13,952.92805028125,365.0264797023226,2,1,1,1,0,-92.66101906516406,9605,0,150.8515625,11
13,2215.637278796875,1288.8889775743908,2,1,1,1,1,119.96020507812818,10554,0,752.7211303710938,45
13,7933.052562,6727.590887663891,2,0,0,0,0,nan,-1,-1,nan,-1
13,883.6803696171875,248.61799491388422,2,0,0,0,0,nan,-1,-1,nan,-1
13,2724.702220203125,2139.310872217955,2,1,1,1,1,751.9905987079328,12234,0,646.4053955078125,40
-13,7379.81672215625,6372.808343560624,2,1,1,1,1,-10.158714294433167,13783,0,2748.253173828125,82
13,1127.970774890625,330.3718417679242,2,0,0,0,0,nan,-1,-1,nan,-1
13,4122.5340073125,2992.949905695171,2,1,1,1,1,839.5165582530931,16155,0,2358.544921875,65
13,1750.364329578125,1136.2833525609374,4,1,1,1,1,316.3562462439868,16428,0,424.22930908203125,30
13,1117.4123032109376,287.1383230510898,3,0,0,0,0,nan,-1,-1,nan,-1
-13,31504.827952625,30167.71495951478,2,1,1,1,1,-36.578207015991175,16930,0,2737.7802734375,78
13,7949.302562,7213.718181733578,2,1,1,1,1,529.2072753906264,17279,0,2648.203857421875,82
-13,3861.7664291875,3376.4379733361407,2,0,0,0,0,nan,-1,-1,nan,-1
13,1154.6308090703126,680.3641655200619,2,0,0,0,0,nan,-1,-1,nan,-1
13,1567.5524399296876,384.87383579176924,2,0,0,0,0,nan,-1,-1,nan,-1
13,965.8668930546875,292.9683453577096,2,1,1,1,1,128.2334289550771,20045,0,129.0918731689453,13
13,4035.28937840625,3538.2037325147903,2,1,1,1,1,245.729073392415,20912,0,2131.187744140625,72
13,2074.702952625,894.7779382250785,2,1,1,1,1,195.0874633789067,21281,0,305.39410400390625,25
13,5796.667796375,5063.135819949602,2,1,1,1,1,199.88757324219773,21369,0,2295.17822265625,78
13,786.5478622929687,386.51176283042844,2,0,0,0,0,nan,-1,-1,nan,-1
13,2473.64484715625,1517.0970687477684,3,1,1,1,1,414.15862379808414,23996,0,808.4098510742188,50
13,3791.847728015625,2894.5073446807896,2,1,1,1,1,725.1982421874923,25452,0,1661.69580078125,64
13,5851.964671375,5014.402637187752,2,1,1,1,1,1347.2205956453317,25884,0,6334.02880859375,88
13,2079.45832371875,1291.7965743114053,3,0,0,0,0,nan,-1,-1,nan,-1
13,963.0883286015625,248.89587714143948,2,0,0,0,0,nan,-1,-1,nan,-1
13,4721.77082371875,3941.739582358929,2,1,1,1,1,1057.1107398761042,26488,0,1447.6865234375,49
13,2614.43928075,1535.7134363521193,2,0,0,0,0,nan,-1,-1,nan,-1
13,1100.1872055546876,145.96266968347163,2,0,0,0,0,nan,-1,-1,nan,-1
13,4546.00910496875,3118.5100763518235,2,1,1,1,1,439.0241699218691,28665,0,1944.9735107421875,70
13,3187.05890965625,2354.434734177774,2,1,1,1,1,244.9281005859375,29448,0,1306.309814453125,59
13,1936.5983383671876,1182.8972404576336,2,1,1,1,1,609.1606352856829,29887,0,700.1968383789062,46
13,784.4358017460937,45.482056977174565,2,0,0,0,0,nan,-1,-1,nan,-1
13,1563.835765125,882.8284913890582,2,0,0,0,0,nan,-1,-1,nan,-1
13,2127.03058934375,1443.697022988271,2,0,0,0,0,nan,-1,-1,nan,-1
13,2726.836985828125,1793.0091495217737,2,0,0,0,0,nan,-1,-1,nan,-1
13,7043.40656590625,5734.545165806144,2,1,1,1,1,1078.3889770507828,32457,0,2955.132080078125,74
13,14630.5926010625,13989.396481185522,2,0,0,0,0,nan,-1,-1,nan,-1
13,1462.1264145390626,374.00984634015873,2,1,1,1,1,72.41098632812236,34572,0,172.19873046875,15
13,1356.2625229375,718.0919305362173,2,1,1,1,1,313.30163574219046,34640,0,470.1842041015625,33
13,2927.033763171875,2109.512205340073,2,1,1,1,1,403.64382656481484,36642,0,953.6885375976562,41
13,2796.041087390625,459.15344245534675,2,0,0,0,0,nan,-1,-1,nan,-1
13,2488.163890125,1830.8205961086155,3,1,1,1,1,940.8166867950058,37484,0,979.7278442382812,55
13,2021.873606921875,1376.8124340744541,2,1,1,1,1,692.5328369140627,38633,0,817.2134399414062,48
13,1699.5082504765626,981.8883070364075,2,0,0,0,0,nan,-1,-1,nan,-1
13,3032.605296375,2384.3944431698246,2,1,1,1,0,-45.48739728758437,38847,0,1420.107177734375,55
13,9785.706858875,8401.20701635273,2,1,1,1,1,818.5805874403223,39363,0,2366.150634765625,80
13,14994.331858875,14107.76820052514,2,1,1,1,1,114.06933593750523,43395,0,2791.359130859375,86
13,2074.491282703125,1512.2150383741384,2,1,1,1,1,185.75395312789055,44177,0,740.3130493164062,38
-13,1628.855296375,760.2410489709429,2,0,0,0,0,nan,-1,-1,nan,-1
13,4365.7625229375,3378.9543729629286,2,1,1,1,1,809.7966308593705,46153,0,1918.20849609375,70
-13,725.608470203125,187.9478973044786,3,0,0,0,0,nan,-1,-1,nan,-1
13,3931.7683823125,2877.447526221671,2,1,1,1,1,662.1508789062531,47788,0,1117.833984375,56
13,5105.2254135625,4305.764854024691,2,0,0,0,0,nan,-1,-1,nan,-1
13,7429.9851791875,6869.856947374901,2,1,1,1,0,-1407.4530381783748,50589,0,3080.96728515625,66
13,2049.620188953125,1342.0332224166386,2,1,1,1,1,686.2307128906205,50725,0,690.9324951171875,45
13,2832.24396825,2157.932197488751,2,1,1,1,1,595.352172851562,50791,0,1314.6541748046875,50
13,1565.07746434375,1137.4057017827704,2,1,1,1,1,525.9549432336873,51621,0,536.605224609375,39
13,7211.16047215625,6105.228259984391,2,1,1,1,1,555.1147667517922,52195,0,2809.878173828125,83
13,5069.96515965625,4085.3116706686105,2,1,1,1,1,62.054439603344235,52403,0,2514.587158203125,56
13,1866.3699448125,766.9000437112603,2,1,1,1,1,433.05233487215764,52676,0,381.2994384765625,34
13,643.9475204960937,134.53300134471593,2,0,0,0,0,nan,-1,-1,nan,-1
13,1519.4640610234376,399.4524396667232,2,1,1,1,1,305.99084284855735,53751,0,177.82354736328125,15
13,1425.810618640625,687.3441274239324,2,1,1,1,1,137.44717779391885,54528,0,320.03802490234375,26
13,11160.800608875,10366.776790833233,2,1,1,1,0,-53.56188964842772,54586,0,2355.7666015625,86
13,2224.6228745,1293.1687355864176,2,1,1,1,1,78.04234858159339,54925,0,687.6793823242188,49
13,16702.316233875,15906.110133243905,2,0,0,0,0,nan,-1,-1,nan,-1
13,2584.52863621875,1417.0736018353916,2,1,1,1,1,520.9640499679274,56839,0,729.7498779296875,49
13,29484.495921375,28679.523119327067,2,0,0,0,0,nan,-1,-1,nan,-1
13,1815.4225571171876,869.18331367601,2,1,1,1,1,694.0068565955474,57425,0,434.4852600097656,31
13,2270.7156479375,1100.6257792297108,2,0,0,0,0,nan,-1,-1,nan,-1
13,6584.6824448125,5679.060286603529,2,1,1,1,1,106.28752484745837,61338,0,2747.73291015625,88
13,8098.6472885625,7072.933788046848,2,1,1,1,1,45.670776367187386,61870,0,275.06787109375,17
13,2651.676829578125,1781.6045411249825,3,1,1,1,1,333.9437075281917,63021,0,991.308837890625,51
-13,13660.0603745,12713.677755639976,2,0,0,0,0,nan,-1,-1,nan,-1
13,1977.251536609375,1580.2292378749282,2,1,1,1,0,-103.31219388521231,65036,0,14081.080078125,45
13,3628.166087390625,2938.66287806238,3,0,0,0,0,nan,-1,-1,nan,-1
13,16396.61115575,15152.040831114224,2,1,1,1,1,569.4232384314873,65749,0,2758.194091796875,83
13,1862.61896825,587.7527242822716,3,1,1,1,1,54.96041353666442,67212,0,334.88232421875,24
13,1605.581614734375,681.1259888140228,2,1,1,1,0,-54.05239868166643,67308,0,262.45745849609375,19
13,8219.386546375,7587.262012127836,2,1,1,1,1,77.69311523437841,67419,0,444.9393615722656,32
13,2687.510813953125,1927.765456499795,2,1,1,1,1,811.7894361507231,67435,0,1030.074951171875,53
13,23332.9509995,22127.7668996382,2,1,1,1,1,51.31115722656568,67783,0,2773.267333984375,84
13,846.8256943242187,155.6068166607973,2,0,0,0,0,nan,-1,-1,nan,-1
13,3110.75129246875,2190.444022210709,2,0,0,0,0,nan,-1,-1,nan,-1
13,2368.1853745,1451.534158949518,2,1,1,1,1,79.08975067139056,71377,0,361.7299499511719,29
13,1686.8009750859376,766.4058052192048,2,0,0,0,0,nan,-1,-1,nan,-1
13,1701.46320653125,1273.9183857870285,2,1,1,1,1,37.995849609375,72109,0,339.6273498535156,31
13,7090.702952625,5961.828245113413,2,1,1,1,1,179.91246381229894,72250,0,2716.254150390625,82
13,2021.49640965625,1400.5390449152023,4,0,0,0,0,nan,-1,-1,nan,-1
13,1527.35187840625,610.3233118901054,2,1,1,1,1,246.66987748580186,72410,0,312.5871887207031,28
13,1684.099681140625,741.2298425884417,2,0,0,0,0,nan,-1,-1,nan,-1
13,2981.81379246875,2570.1606575124333,2,1,1,1,1,196.13080596923845,73231,0,1458.7919921875,62
13,9181.589671375,8462.070894080047,2,0,0,0,0,nan,-1,-1,nan,-1
13,1545.9555161015626,682.2830553142154,2,1,1,1,1,13.283269708803346,73820,0,261.4967041015625,19
-13,9461.640452625,8754.129111592178,2,1,1,1,1,-188.24096679688319,74126,0,3906.756103515625,86
13,1095.3747055546876,127.36867569457922,3,0,0,0,0,nan,-1,-1,nan,-1
13,3013.929759265625,1854.9148059006554,2,1,1,1,1,751.472167968745,75346,0,1075.1077880859375,56
13,1860.1291000859376,1077.3378220780962,2,1,1,1,1,282.3693847656209,75421,0,2406.899169921875,39
13,2685.661204578125,2076.1314092094103,2,1,1,1,0,-19.7088343508276,75684,0,1064.7503662109375,51
13,1796.6903793828126,1048.4597182645416,2,1,1,1,1,432.8769531249968,76689,0,544.8766479492188,45
13,2252.63215184375,1672.288037489232,2,0,0,0,0,nan,-1,-1,nan,-1
-13,3040.911937,2125.849583692875,2,1,1,1,1,-485.286488188794,77118,0,1307.7401123046875,59
13,11694.2722885625,11052.990095643841,2,1,1,1,1,1064.8320458406477,77334,0,2738.404541015625,83
13,3249.32160496875,2357.5458498065823,2,1,1,1,1,229.399569424716,77451,0,344.658935546875,26
